#{"t_start": 1754567534.1600835, "env_id": "nnMeta-v40"}
r,l,t
0.334,1,10.097265
1.499,2,14.02655
-0.391,3,19.964246
-1.364,4,24.763602
-1.728,5,30.32504
-0.291,6,33.830945
1.181,7,37.182202
0.897,8,42.517129
1.541,9,47.639711
1.888,10,54.107068
2.235,11,58.805684
2.582,12,64.521807
3.167,13,68.855672
3.811,14,74.315798
4.158,15,80.208629
3.087,16,85.705569
3.434,17,91.406017
3.07,18,97.279709
3.417,19,102.507319
2.444,20,110.202857
3.088,21,115.582106
2.115,22,121.361936
3.172,23,124.67334
3.519,24,129.639899
4.163,25,133.955552
5.25,26,138.692096
5.939,27,142.290552
7.07,28,145.619306
5.724,29,150.502519
5.68,30,155.258447
5.636,31,160.314076
5.983,32,165.658567
6.33,33,170.418117
6.677,34,175.223477
5.201,35,181.031629
5.157,36,185.792449
5.801,37,191.551229
5.905,38,196.270682
6.252,39,200.969395
6.599,40,207.442152
6.946,41,212.639739
7.293,42,218.66347
7.64,43,223.631495
7.987,44,228.625232
7.495,45,234.198398
8.08,46,238.839346
8.427,47,243.422355
8.774,48,248.250359
9.121,49,253.510009
9.468,50,259.001346
